日期,股票代码,名称,收盘价,涨跌幅
2016-03-01,'600708,光明地产,9.5,3.1488
2016-02-29,'600708,光明地产,9.21,2.905
2016-02-26,'600708,光明地产,8.95,1.4739
2016-02-25,'600708,光明地产,8.82,-9.9081
2016-02-24,'600708,光明地产,9.79,4.7059
2016-02-23,'600708,光明地产,9.35,-2.4008
2016-02-22,'600708,光明地产,9.58,3.0108
2016-02-19,'600708,光明地产,9.3,0.0
2016-02-18,'600708,光明地产,9.3,0.5405
2016-02-17,'600708,光明地产,9.25,1.0929
2016-02-16,'600708,光明地产,9.15,4.811
2016-02-15,'600708,光明地产,8.73,-2.2396
2016-02-05,'600708,光明地产,8.93,-1.4349
2016-02-04,'600708,光明地产,9.06,0.6667
2016-02-03,'600708,光明地产,9.0,0.0
2016-02-02,'600708,光明地产,9.0,2.3891
2016-02-01,'600708,光明地产,8.79,7.4572
2016-01-29,'600708,光明地产,8.18,4.2038
2016-01-28,'600708,光明地产,7.85,-4.9637
2016-01-27,'600708,光明地产,8.26,-1.0778
2016-01-26,'600708,光明地产,8.35,-6.9119
2016-01-25,'600708,光明地产,8.97,3.1034
2016-01-22,'600708,光明地产,8.7,2.2327
2016-01-21,'600708,光明地产,8.51,-6.2775
2016-01-20,'600708,光明地产,9.08,-2.0496
2016-01-19,'600708,光明地产,9.27,7.1676
2016-01-18,'600708,光明地产,8.65,1.1696
2016-01-15,'600708,光明地产,8.55,-7.1661
2016-01-14,'600708,光明地产,9.21,2.6756
2016-01-13,'600708,光明地产,8.97,-3.027
2016-01-12,'600708,光明地产,9.25,-1.5957
2016-01-11,'600708,光明地产,9.4,-9.1787
2016-01-08,'600708,光明地产,10.35,-0.1929
2016-01-07,'600708,光明地产,10.37,-9.9826
2016-01-06,'600708,光明地产,11.52,0.3484
2016-01-05,'600708,光明地产,11.48,-1.1197
2016-01-04,'600708,光明地产,11.61,-9.226
2015-12-31,'600708,光明地产,12.79,-1.9923
2015-12-30,'600708,光明地产,13.05,2.0328
2015-12-29,'600708,光明地产,12.79,-0.234
2015-12-28,'600708,光明地产,12.82,-2.2866
2015-12-25,'600708,光明地产,13.12,-1.5015
2015-12-24,'600708,光明地产,13.32,-1.5521
2015-12-23,'600708,光明地产,13.53,-0.2212
2015-12-22,'600708,光明地产,13.56,1.3453
2015-12-21,'600708,光明地产,13.38,4.5313
2015-12-18,'600708,光明地产,12.8,-1.1583
2015-12-17,'600708,光明地产,12.95,2.7778
2015-12-16,'600708,光明地产,12.6,1.6129
2015-12-15,'600708,光明地产,12.4,1.1419
2015-12-14,'600708,光明地产,12.26,0.9053
2015-12-11,'600708,光明地产,12.15,-2.0161
2015-12-10,'600708,光明地产,12.4,2.3947
2015-12-09,'600708,光明地产,12.11,-1.8639
2015-12-08,'600708,光明地产,12.34,-3.0636
2015-12-07,'600708,光明地产,12.73,-0.9339
2015-12-04,'600708,光明地产,12.85,-2.207
2015-12-03,'600708,光明地产,13.14,1.0769
2015-12-02,'600708,光明地产,13.0,0.3086
2015-12-01,'600708,光明地产,12.96,2.7756
2015-11-30,'600708,光明地产,12.61,-3.7405
2015-11-27,'600708,光明地产,13.1,-8.9646
2015-11-26,'600708,光明地产,14.39,-1.0997
2015-11-25,'600708,光明地产,14.55,-1.222
2015-11-24,'600708,光明地产,14.73,-1.0745
2015-11-23,'600708,光明地产,14.89,2.8315
2015-11-20,'600708,光明地产,14.48,-1.897
2015-11-19,'600708,光明地产,14.76,0.0
2015-11-18,'600708,光明地产,14.76,-0.6061
2015-11-17,'600708,光明地产,14.85,-1.8506
2015-11-16,'600708,光明地产,15.13,-2.5129
2015-11-13,'600708,光明地产,15.52,-3.2419
2015-11-12,'600708,光明地产,16.04,-2.6699
2015-11-11,'600708,海博股份,16.48,4.9682
