日期,股票代码,名称,收盘价,涨跌幅,变动率,累计变动率,前复权,week,month,quarter,half-year,year,wm,wq,wh,wy,mq,mh,my,qh,qy,hy,wmq,wmqh,wmqhy,mqh,mqhy,qhy
2018-08-17,'300729,乐歌股份,25.22,-3.0373,0.969627,1.0971475710104224,24.997623377331987,25.951135643777047,27.6088787182404,31.882686413978636,30.434816723994643,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-20,'300729,乐歌股份,25.65,1.705,1.01705,1.11585393709615,25.423832855915496,25.719200555934158,27.393297427032387,31.74805124553425,30.43021843725891,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-21,'300729,乐歌股份,25.6,-0.1949,0.998051,1.1136791377727495,25.37428180567931,25.451585205102734,27.14649480217947,31.63456135881317,30.42405802006166,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-22,'300729,乐歌股份,25.1,-1.9531,0.980469,1.09192787053291,24.878696707732594,25.291018818046787,26.87094833070241,31.491336090520758,30.419842169786534,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-23,'300729,乐歌股份,25.25,0.5976,1.005976,1.0984532314872146,25.027371799258,25.14036130918351,26.593419388142998,31.38627123501129,30.41087282099805,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-24,'300729,乐歌股份,25.05,-0.7921,0.992079,1.0897523834406044,24.829129987236076,25.10666263116433,26.323323697488952,31.243376341707823,30.405176789040308,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-27,'300729,乐歌股份,25.67,2.475,1.02475,1.1167237549307594,25.44365095442017,25.110626250865266,26.11121187583666,31.09469957333643,30.390646981318056,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-28,'300729,乐歌股份,26.21,2.1036,1.021036,1.1402151558394829,25.978883595897354,25.23154660890887,25.955596555359886,30.969315626766004,30.381152002357336,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-29,'300729,乐歌股份,25.93,-1.0683,0.989317,1.1280342373296497,25.701351182442384,25.39607750385083,25.83665492052331,30.811222596838967,30.367948791737703,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-30,'300729,乐歌股份,25.02,-3.5094,0.964906,1.088447003804803,24.799387964045753,25.350480736808386,25.733572991940996,30.596797356920085,30.338281773218302,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
